record_id,title,category,city,price_eur,availability,updated_at,source_url
SYN-001,Lampe de bureau,Bureau,Lille,42.00,disponible,2026-07-28,https://exemple.invalid/catalogue/syn-001/
SYN-002,Support écran,Bureau,Rennes,59.00,disponible,2026-07-29,https://exemple.invalid/catalogue/syn-002/
SYN-003,Clavier compact,Informatique,Nantes,74.50,rupture,2026-07-29,https://exemple.invalid/catalogue/syn-003/
SYN-004,Sacoche ordinateur,Mobilité,Lyon,38.90,disponible,2026-07-30,https://exemple.invalid/catalogue/syn-004/
SYN-005,Hub USB-C,Informatique,Paris,49.90,disponible,2026-07-30,https://exemple.invalid/catalogue/syn-005/
SYN-006,Carnet relié,Papeterie,Bordeaux,18.00,disponible,2026-07-30,https://exemple.invalid/catalogue/syn-006/
SYN-007,Webcam HD,Informatique,Toulouse,69.00,précommande,2026-07-31,https://exemple.invalid/catalogue/syn-007/
SYN-008,Gourde inox,Mobilité,Grenoble,24.90,disponible,2026-07-31,https://exemple.invalid/catalogue/syn-008/
SYN-009,Repose-poignets,Bureau,Strasbourg,21.50,disponible,2026-07-31,https://exemple.invalid/catalogue/syn-009/
SYN-010,Casque antibruit,Bureau,Marseille,84.00,rupture,2026-08-01,https://exemple.invalid/catalogue/syn-010/
